"enrollee_id","city","city_development_index","gender","relevant_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours","target","quality","na_count"
33057,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other",">4",29,"Target.Yes",2,2
25459,"city_114",0.926,"Male","No","No","Primary School","Other","3","Unknown","Other","never",16,"Target.No",3,3
23657,"city_103",0.92,"Male","No","No","Primary School","Other","4","Unknown","Other","never",14,"Target.No",3,3
31401,"city_103",0.92,"Male","Yes","No","Masters","STEM","18","10000+","Pvt Ltd","2",116,"Target.No",0,0
20376,"city_160",0.92,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other",">4",25,"Target.Yes",2,2
24701,"city_103",0.92,"Missing","Yes","No","Graduate","STEM","15","10000+","Pvt Ltd",">4",16,"Target.No",1,1
6790,"city_90",0.698,"Male","Yes","Full-Time","Masters","STEM","15","Unknown","Other","1",100,"Target.No",2,2
1586,"city_75",0.939,"Missing","Yes","No","High School","Other","6","Unknown","Other","1",59,"Target.No",4,4
9189,"city_23",0.899,"Missing","Yes","No","High School","Other","6","50-99","Other","1",146,"Target.No",3,3
28406,"city_103",0.92,"Missing","Yes","No","Graduate","Other","14","Unknown","Pvt Ltd","1",131,"Target.No",2,2
9384,"city_61",0.913,"Male","Yes","No","Masters","STEM",">20","500-999","Pvt Ltd",">4",143,"Target.No",0,0
22787,"city_136",0.897,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other","1",36,"Target.No",2,2
18385,"city_11",0.55,"Missing","Yes","No","Masters","STEM","9","50-99","Pvt Ltd","1",12,"Target.No",2,2
24807,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","50-99","Pvt Ltd","1",55,"Target.No",0,0
6008,"city_16",0.91,"Male","Yes","No","High School","Other",">20","100-500","Pvt Ltd",">4",38,"Target.No",1,1
27326,"city_114",0.926,"Male","Yes","Full-Time","High School","Other","7","Unknown","Other","1",17,"Target.No",3,3
2194,"city_23",0.899,"Male","Yes","No","Graduate","STEM","5","10-49","Funded Startup","1",19,"Target.No",0,0
10481,"city_102",0.804,"Missing","No","Full-Time","Graduate","Other","<1","Unknown","Other","never",214,"Target.No",4,3
8540,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","1000-4999","Public Sector",">4",52,"Target.No",0,0
4075,"city_100",0.887,"Male","No","Full-Time","Graduate","STEM","4","Unknown","Other","1",52,"Target.Yes",2,2
22517,"city_114",0.926,"Male","No","No","Graduate","STEM","3","1000-4999","Public Sector","1",86,"Target.No",0,0
10970,"city_16",0.91,"Male","Yes","No","Masters","STEM","18","Unknown","Other",">4",178,"Target.No",2,2
5136,"city_104",0.924,"Male","Yes","No","Phd","Other",">20","Unknown","Other","1",62,"Target.No",2,2
11751,"city_138",0.836,"Male","No","No","Graduate","STEM","6","<10","Pvt Ltd","never",58,"Target.No",0,0
28590,"city_16",0.91,"Male","Yes","No","Masters","STEM","6","50-99","Funded Startup","1",72,"Target.No",1,1
5340,"city_103",0.92,"Male","Yes","No","Graduate","Other",">20","10000+","Pvt Ltd","never",109,"Target.No",0,0
20698,"city_114",0.926,"Male","Yes","No","Graduate","STEM",">20","500-999","NGO","1",72,"Target.No",0,0
41,"city_100",0.887,"Male","Yes","No","High School","Other",">20","100-500","Pvt Ltd","1",47,"Target.No",1,1
4626,"city_21",0.624,"Male","No","No","High School","Other","2","Unknown","Pvt Ltd","never",306,"Target.No",4,2
10529,"city_103",0.92,"Male","Yes","No","Graduate","Other",">20","<10","Pvt Ltd","1",102,"Target.No",0,0
27546,"city_103",0.92,"Male","No","No","Primary School","Other","1","Unknown","Other","never",43,"Target.No",3,3
8442,"city_67",0.855,"Missing","Yes","No","Graduate","STEM","5","Unknown","Other","1",54,"Target.No",3,3
8151,"city_162",0.767,"Missing","Yes","Full-Time","Masters","STEM","8","10-49","Pvt Ltd","1",7,"Target.No",1,1
25969,"city_16",0.91,"Male","Yes","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",38,"Target.No",0,0
25525,"city_67",0.855,"Other","No","Full-Time","High School","Other","4","10000+","Pvt Ltd","1",36,"Target.No",1,1
30967,"city_16",0.91,"Male","No","Full-Time","Graduate","STEM","10","Unknown","Other","1",8,"Target.Yes",2,2
18620,"city_40",0.776,"Male","Yes","Full-Time","Graduate","STEM","14","1000-4999","Pvt Ltd","never",52,"Target.No",0,0
24226,"city_21",0.624,"Female","Yes","No","Graduate","STEM","<1","50-99","Pvt Ltd","1",13,"Target.No",0,0
11966,"city_138",0.836,"Male","Yes","No","Masters","Other","2","100-500","Pvt Ltd","1",36,"Target.No",0,0
28391,"city_21",0.624,"Missing","Yes","No","Graduate","STEM","8","50-99","Pvt Ltd","1",13,"Target.Yes",1,1
20797,"city_16",0.91,"Male","Yes","No","Phd","STEM","15","10000+","Pvt Ltd","1",58,"Target.No",0,0
25041,"city_21",0.624,"Male","Yes","No","Graduate","STEM","7","100-500","Pvt Ltd","1",18,"Target.Yes",0,0
17783,"city_65",0.802,"Male","Yes","Full-Time","Graduate","STEM","<1","10000+","Pvt Ltd","2",11,"Target.No",0,0
13256,"city_21",0.624,"Male","Yes","No","Graduate","STEM","4","Unknown","Other","2",15,"Target.Yes",2,2
17941,"city_21",0.624,"Missing","No","No","Masters","Other","<1","10000+","Pvt Ltd","1",18,"Target.No",1,1
4978,"city_114",0.926,"Male","Yes","Part-Time","Masters","STEM","14","10000+","Pvt Ltd","2",16,"Target.No",0,0
33367,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other",">4",220,"Target.Yes",3,2
14999,"city_67",0.855,"Missing","Yes","No","Masters","STEM",">20","50-99","Pvt Ltd","2",21,"Target.No",1,1
29612,"city_21",0.624,"Male","Yes","Full-Time","Graduate","STEM","5","10-49","Pvt Ltd","1",8,"Target.Yes",0,0
22742,"city_16",0.91,"Missing","Yes","No","Graduate","STEM","9","<10","Early Stage Startup","1",56,"Target.No",1,1
19555,"city_65",0.802,"Male","Yes","Full-Time","Graduate","STEM","8","5000-9999","Pvt Ltd","2",314,"Target.No",2,0
19889,"city_21",0.624,"Missing","Yes","No","Graduate","STEM","7","10000+","Pvt Ltd","2",32,"Target.No",1,1
11780,"city_16",0.91,"Male","Yes","No","Graduate","STEM",">20","50-99","Pvt Ltd","1",43,"Target.Yes",0,0
8489,"city_11",0.55,"Male","Yes","No","Graduate","Other","15","100-500","Pvt Ltd",">4",15,"Target.Yes",2,2
32260,"city_78",0.579,"Male","Yes","No","Graduate","STEM","2","Unknown","Other","1",9,"Target.No",2,2
21603,"city_21",0.624,"Male","Yes","No","Graduate","STEM","7","50-99","Pvt Ltd","1",50,"Target.No",0,0
19612,"city_21",0.624,"Male","Yes","No","Masters","STEM","5","100-500","Pvt Ltd","1",15,"Target.Yes",0,0
9414,"city_21",0.624,"Male","Yes","No","Graduate","STEM","8","100-500","Pvt Ltd","1",54,"Target.Yes",0,0
22211,"city_67",0.855,"Male","No","No","Graduate","Other","5","Unknown","Other","never",36,"Target.No",2,2
7009,"city_102",0.804,"Missing","Yes","No","Graduate","STEM","13","50-99","Pvt Ltd","1",22,"Target.No",1,1
19818,"city_21",0.624,"Male","Yes","Full-Time","Graduate","STEM","2","<10","Pvt Ltd","2",141,"Target.Yes",0,0
24981,"city_45",0.89,"Missing","Yes","No","Graduate","STEM","9","50-99","Pvt Ltd","1",62,"Target.No",2,2
12140,"city_16",0.91,"Female","Yes","No","Masters","Other","5","Unknown","Public Sector","1",57,"Target.No",1,1
20751,"city_36",0.893,"Missing","Yes","No","Graduate","STEM","5","<10","Early Stage Startup","1",112,"Target.No",1,1
13597,"city_36",0.893,"Male","Yes","No","Masters","STEM","12","10000+","Pvt Ltd","1",107,"Target.No",0,0
5205,"city_162",0.767,"Missing","Yes","No","Graduate","STEM",">20","500-999","Public Sector","never",28,"Target.Yes",2,2
8055,"city_61",0.913,"Male","Yes","No","Graduate","STEM","8","100-500","Other","4",46,"Target.No",1,1
8677,"city_67",0.855,"Male","No","No","High School","Other","11","Unknown","Pvt Ltd","1",32,"Target.No",2,2
14890,"city_65",0.802,"Male","Yes","No","Masters","Other","11","Unknown","Other","2",35,"Target.No",2,2
13311,"city_103",0.92,"Male","Yes","Full-Time","Graduate","STEM","6","5000-9999","Pvt Ltd","2",26,"Target.No",0,0
26275,"city_103",0.92,"Male","Yes","No","Masters","Other","5","10000+","Pvt Ltd","4",168,"Target.Yes",0,0
20823,"city_114",0.926,"Male","Yes","No","Masters","STEM","16","100-500","Pvt Ltd",">4",37,"Target.No",0,0
16177,"city_114",0.926,"Male","No","Full-Time","Graduate","STEM","10","Unknown","Other","never",67,"Target.No",2,2
11085,"city_173",0.878,"Male","No","No","Graduate","Other","14","50-99","NGO","3",45,"Target.No",0,0
17304,"city_28",0.939,"Male","Yes","No","Masters","STEM","6","100-500","Pvt Ltd","1",96,"Target.No",0,0
22348,"city_19",0.682,"Male","No","Full-Time","Graduate","STEM","9","Unknown","Other","1",42,"Target.No",2,2
18320,"city_149",0.689,"Missing","Yes","No","Graduate","STEM","4","50-99","Pvt Ltd","3",31,"Target.Yes",2,2
3248,"city_102",0.804,"Male","No","No","High School","Other","4","Unknown","Pvt Ltd","never",94,"Target.No",2,2
10792,"city_102",0.804,"Missing","Yes","No","Graduate","STEM","12","5000-9999","Pvt Ltd","1",182,"Target.No",2,2
16372,"city_114",0.926,"Missing","Yes","Full-Time","Masters","STEM","9","50-99","Pvt Ltd","1",88,"Target.No",1,1
29606,"city_50",0.896,"Male","No","No","High School","Other","3","100-500","Pvt Ltd",">4",10,"Target.No",1,1
17375,"city_157",0.769,"Male","Yes","No","Graduate","STEM","9","100-500","NGO",">4",35,"Target.Yes",0,0
8311,"city_114",0.926,"Male","Yes","No","Masters","STEM","12","1000-4999","Pvt Ltd","1",82,"Target.No",0,0
5801,"city_61",0.913,"Missing","Yes","No","High School","Other","8","100-500","NGO","1",20,"Target.No",2,2
16625,"city_21",0.624,"Male","Yes","No","Masters","STEM","4","<10","Early Stage Startup","1",78,"Target.Yes",0,0
23714,"city_114",0.926,"Male","Yes","No","Graduate","STEM",">20","Unknown","Other",">4",114,"Target.No",2,2
21967,"city_114",0.926,"Male","Yes","No","Masters","STEM",">20","100-500","Pvt Ltd",">4",56,"Target.No",0,0
3965,"city_23",0.899,"Missing","Yes","No","Graduate","STEM","8","100-500","Funded Startup","2",114,"Target.No",1,1
26402,"city_71",0.884,"Male","Yes","No","Graduate","STEM","13","10-49","Pvt Ltd","2",101,"Target.No",0,0
15012,"city_144",0.84,"Male","Yes","Full-Time","Graduate","STEM","9","10-49","Other","1",34,"Target.No",0,0
15470,"city_157",0.769,"Male","No","No","Graduate","STEM","11","Unknown","Other","2",18,"Target.Yes",2,2
20116,"city_103",0.92,"Missing","Yes","No","Graduate","STEM","11","Unknown","Other","1",11,"Target.Yes",4,4
12830,"city_16",0.91,"Missing","Yes","No","Graduate","STEM","2","10-49","Pvt Ltd","1",163,"Target.No",1,1
6448,"city_165",0.903,"Male","Yes","Part-Time","Graduate","STEM",">20","10000+","Pvt Ltd",">4",6,"Target.No",0,0
4367,"city_103",0.92,"Male","Yes","No","Graduate","STEM","14","Unknown","Other","1",70,"Target.Yes",2,2
8023,"city_90",0.698,"Missing","Yes","No","Masters","STEM","9","10-49","Other","4",86,"Target.No",2,2
3708,"city_103",0.92,"Male","Yes","No","Graduate","STEM","14","10000+","Pvt Ltd",">4",290,"Target.No",2,0
20140,"city_103",0.92,"Female","Yes","No","Graduate","STEM",">20","Unknown","Other",">4",55,"Target.Yes",2,2
18497,"city_90",0.698,"Missing","No","Part-Time","High School","Other","2","50-99","Pvt Ltd","1",16,"Target.No",2,2
4302,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","10000+","Pvt Ltd","1",21,"Target.No",0,0
15211,"city_11",0.55,"Missing","Yes","No","Graduate","STEM","8","Unknown","Other","1",23,"Target.Yes",3,3
11292,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",156,"Target.Yes",0,0
27490,"city_71",0.884,"Male","Yes","No","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",70,"Target.No",0,0
24054,"city_21",0.624,"Missing","Yes","Full-Time","Graduate","STEM","5","50-99","Pvt Ltd","1",71,"Target.Yes",1,1
18130,"city_67",0.855,"Female","No","No","Masters","Other","3","50-99","Pvt Ltd","2",9,"Target.No",0,0
16438,"city_136",0.897,"Missing","No","No","Phd","STEM","12","Unknown","Other","2",53,"Target.No",3,3
3498,"city_41",0.827,"Male","Yes","Full-Time","Graduate","STEM",">20","100-500","Pvt Ltd",">4",72,"Target.No",0,0
33126,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",25,"Target.No",0,0
11950,"city_75",0.939,"Missing","Yes","No","Masters","STEM","2","10000+","Pvt Ltd","1",28,"Target.No",1,1
23157,"city_103",0.92,"Male","No","No","Graduate","STEM","4","50-99","Pvt Ltd","1",32,"Target.No",0,0
2181,"city_67",0.855,"Male","Yes","No","Masters","STEM","10","Unknown","Pvt Ltd","1",162,"Target.No",1,1
23931,"city_103",0.92,"Male","No","No","Primary School","Other","10","Unknown","Other","never",53,"Target.No",3,3
16466,"city_102",0.804,"Male","Yes","No","Masters","STEM","13","10-49","Early Stage Startup","1",12,"Target.No",0,0
17268,"city_65",0.802,"Male","Yes","No","Graduate","STEM","4","<10","Pvt Ltd","1",31,"Target.No",0,0
31935,"city_61",0.913,"Male","Yes","No","Masters","STEM","7","100-500","Other","1",5,"Target.No",1,1
24091,"city_123",0.738,"Male","Yes","No","Masters","STEM","13","1000-4999","Public Sector",">4",66,"Target.Yes",0,0
9337,"city_126",0.479,"Missing","Yes","Full-Time","Graduate","STEM","5","Unknown","Public Sector","1",4,"Target.No",2,2
21129,"city_160",0.92,"Missing","No","No","Masters","STEM","8","5000-9999","Pvt Ltd","1",113,"Target.No",1,1
21176,"city_175",0.776,"Male","Yes","No","Graduate","STEM","16","500-999","Pvt Ltd","2",103,"Target.No",0,0
27678,"city_103",0.92,"Male","Yes","Part-Time","Graduate","STEM","3","10000+","Pvt Ltd","2",11,"Target.No",0,0
23741,"city_21",0.624,"Male","Yes","No","Graduate","STEM","2","10-49","Pvt Ltd","2",89,"Target.Yes",0,0
14295,"city_160",0.92,"Male","Yes","No","Primary School","Other","9","<10","NGO","2",157,"Target.No",1,1
893,"city_114",0.926,"Male","Yes","No","High School","Other","20","1000-4999","Pvt Ltd",">4",90,"Target.No",1,1
28991,"city_21",0.624,"Male","Yes","No","Graduate","STEM","7","100-500","Other","1",17,"Target.Yes",1,1
10175,"city_103",0.92,"Missing","Yes","No","Graduate","STEM",">20","10000+","Pvt Ltd","4",20,"Target.No",1,1
22997,"city_173",0.878,"Male","Yes","No","Masters","STEM","10","10000+","Pvt Ltd","3",9,"Target.No",0,0
30340,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","10-49","Early Stage Startup","1",9,"Target.No",0,0
9448,"city_114",0.926,"Male","Yes","No","Graduate","STEM","14","50-99","Pvt Ltd",">4",28,"Target.No",0,0
9485,"city_104",0.924,"Missing","Yes","No","Masters","STEM",">20","10000+","Pvt Ltd","3",35,"Target.No",1,1
14642,"city_36",0.893,"Male","No","No","Graduate","STEM",">20","100-500","Pvt Ltd","3",166,"Target.No",0,0
3438,"city_103",0.92,"Male","Yes","No","Graduate","STEM","15","100-500","Pvt Ltd","2",28,"Target.Yes",0,0
33049,"city_99",0.915,"Male","Yes","No","Graduate","STEM","9","10-49","Pvt Ltd","1",20,"Target.No",0,0
25690,"city_103",0.92,"Male","Yes","No","Graduate","STEM","10","Unknown","Other","1",57,"Target.Yes",2,2
13547,"city_16",0.91,"Male","Yes","No","Graduate","Other","4","100-500","Pvt Ltd","1",44,"Target.No",0,0
13583,"city_36",0.893,"Missing","No","No","High School","Other","15","<10","Pvt Ltd","2",46,"Target.No",2,2
9001,"city_146",0.735,"Missing","Yes","Full-Time","Graduate","STEM","3","100-500","Other","1",18,"Target.No",3,3
16787,"city_114",0.926,"Male","Yes","No","Masters","STEM","12","100-500","Pvt Ltd",">4",154,"Target.No",0,0
28699,"city_16",0.91,"Male","Yes","No","Graduate","Other","4","100-500","Pvt Ltd","1",48,"Target.No",2,2
32482,"city_103",0.92,"Male","Yes","No","Graduate","STEM","6","10000+","Pvt Ltd","1",166,"Target.No",0,0
1926,"city_123",0.738,"Missing","No","No","Masters","STEM","15","50-99","Pvt Ltd","1",44,"Target.No",2,2
7452,"city_114",0.926,"Male","No","Full-Time","High School","Other","6","Unknown","Other","never",45,"Target.No",3,3
30339,"city_162",0.767,"Male","Yes","No","Graduate","Other",">20","Unknown","Pvt Ltd","never",11,"Target.No",1,1
11696,"city_114",0.926,"Male","Yes","No","Masters","STEM","15","Unknown","NGO","1",77,"Target.No",1,1
299,"city_103",0.92,"Male","Yes","No","Graduate","STEM",">20","Unknown","Public Sector",">4",32,"Target.No",1,1
26304,"city_54",0.856,"Male","Yes","No","Graduate","Other","5","50-99","Pvt Ltd","1",83,"Target.No",0,0
28453,"city_16",0.91,"Male","Yes","No","Masters","STEM","10","10000+","Pvt Ltd","1",18,"Target.No",0,0
22595,"city_100",0.887,"Male","Yes","No","Primary School","Other","4","10-49","Pvt Ltd","1",14,"Target.No",1,1
12757,"city_16",0.91,"Male","Yes","No","Graduate","STEM",">20","500-999","Funded Startup","2",20,"Target.Yes",0,0
